parameter_id,dataset_id,section,name,value,unit,evidence_type,source_id,source_blob_sha1,uncertainty,validity_domain,note
AE_NMC.Positive electrode.Entropic change coefficient [V.K-1],AE_NMC,Positive electrode,Entropic change coefficient [V.K-1],-0.0001,V.K-1,literature,S01,bb26edb12c2f105c53fcbae69604e077033e35a1,,"{""stoichiometry_min"": 0.42424, ""stoichiometry_max"": 0.9621, ""reference_temperature_K"": 298.15, ""note"": ""Source usable stoichiometric window; not independently validated across temperature or age.""}",Entropy data borrowed from cited studies; chemistry/sample match must be checked.
AE_NMC.Positive electrode.Conductivity [S.m-1],AE_NMC,Positive electrode,Conductivity [S.m-1],0.789,S.m-1,mixed_not_resolved,S01,bb26edb12c2f105c53fcbae69604e077033e35a1,,,Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy.
AE_NMC.Positive electrode.Surface area per unit volume [m-1],AE_NMC,Positive electrode,Surface area per unit volume [m-1],432072,m-1,mixed_not_resolved,S01,bb26edb12c2f105c53fcbae69604e077033e35a1,,,Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy.
AE_NMC.Positive electrode.Porosity,AE_NMC,Positive electrode,Porosity,0.277493,,mixed_not_resolved,S01,bb26edb12c2f105c53fcbae69604e077033e35a1,,,Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy.
AE_NMC.Positive electrode.Transport efficiency,AE_NMC,Positive electrode,Transport efficiency,0.1462,,mixed_not_resolved,S01,bb26edb12c2f105c53fcbae69604e077033e35a1,,,Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy.
AE_NMC.Positive electrode.Reaction rate constant [mol.m-2.s-1],AE_NMC,Positive electrode,Reaction rate constant [mol.m-2.s-1],2.305e-05,mol.m-2.s-1,mixed_not_resolved,S01,bb26edb12c2f105c53fcbae69604e077033e35a1,,,Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy. BPX molar-rate convention: do not substitute into a dimensional exchange-current law without conversion.
AE_NMC.Positive electrode.Minimum stoichiometry,AE_NMC,Positive electrode,Minimum stoichiometry,0.42424,,mixed_not_resolved,S01,bb26edb12c2f105c53fcbae69604e077033e35a1,,,Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy.
AE_NMC.Positive electrode.Maximum stoichiometry,AE_NMC,Positive electrode,Maximum stoichiometry,0.9621,,mixed_not_resolved,S01,bb26edb12c2f105c53fcbae69604e077033e35a1,,,Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy.
AE_NMC.Positive electrode.Maximum concentration [mol.m-3],AE_NMC,Positive electrode,Maximum concentration [mol.m-3],46200,mol.m-3,mixed_not_resolved,S01,bb26edb12c2f105c53fcbae69604e077033e35a1,,,Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy.
AE_NMC.Positive electrode.Diffusivity activation energy [J.mol-1],AE_NMC,Positive electrode,Diffusivity activation energy [J.mol-1],15000,J.mol-1,mixed_not_resolved,S01,bb26edb12c2f105c53fcbae69604e077033e35a1,,,Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy.
AE_NMC.Positive electrode.Reaction rate constant activation energy [J.mol-1],AE_NMC,Positive electrode,Reaction rate constant activation energy [J.mol-1],35000,J.mol-1,mixed_not_resolved,S01,bb26edb12c2f105c53fcbae69604e077033e35a1,,,Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy.
AE_NMC.Separator.Thickness [m],AE_NMC,Separator,Thickness [m],2e-05,m,literature,S01,bb26edb12c2f105c53fcbae69604e077033e35a1,,,Electrolyte/separator informed by literature; exact per-entry provenance not fully resolved.
AE_NMC.Separator.Porosity,AE_NMC,Separator,Porosity,0.47,,literature,S01,bb26edb12c2f105c53fcbae69604e077033e35a1,,,Electrolyte/separator informed by literature; exact per-entry provenance not fully resolved.
AE_NMC.Separator.Transport efficiency,AE_NMC,Separator,Transport efficiency,0.3222,,literature,S01,bb26edb12c2f105c53fcbae69604e077033e35a1,,,Electrolyte/separator informed by literature; exact per-entry provenance not fully resolved.
